Gene,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
AHR,1.17081594467,4.12545156479,1.93122470379,0.804017484188,0.127338275313,0.573038041592,0.0399657711387,1.37554192543,1.39970362186,1.26663506031,0.929463803768,3.25290250778,3.39427900314,1.18087935448,3.30682969093,2.43874430656,1.54483532906,5.65085220337,4.38473463058,2.41540265083,1.06759238243,2.20426535606,0.798057794571,0.946662604809,1.17756044865,3.72882986069,0.558475077152,2.16230726242,3.37159347534,0.11600048095,4.0090970993,1.24043750763,3.52553462982,1.62059223652,1.99976766109,4.16395950317,5.69799041748,0.378783851862,0.4988963902,1.11591076851,0.757980048656,2.44739127159,8.31605243683,1.09559714794,1.37266790867,2.20814085007,1.84320187569,2.00885891914,4.553191185,5.4647974968,1.95332181454,3.59507083893,2.69187903404,2.43865823746,4.84090948105,2.40928125381,5.15659236908,0.699854314327,2.935587883,12.3929462433,1.19531357288,0.399719327688,3.16602730751,2.96092820168,3.79894399643,4.0874915123,1.29855239391,0.990752577782,4.64930677414,7.28514719009,1.07309794426,8.77569389343,11.5936689377,1.1776573658,1.2785358429,1.05144333839,0.931594252586,5.59682703018,1.87232065201,0.843546867371,2.3839430809,7.88986587524,6.45417785645,6.6803855896,5.57407522202,4.20549488068,6.08911323547,5.68234968185,1.54720628262,2.83303046227,2.2646420002,2.30622935295,1.09550917149,1.50182461739,8.77348709106,4.93138742447,4.2318854332,1.89738607407,1.04186713696,0.964369416237,1.13005554676,0.387594372034,2.23881959915,6.48968458176,5.94385242462,2.77755022049,0.945383667946,2.65160965919,3.41691303253,0.852870345116,1.96063995361,2.16177272797,1.98475944996,0.456000506878,10.6781616211,1.07091271877,7.91803598404,7.00431919098,2.82637810707,3.32726883888,5.18812036514,2.21748352051,2.31565093994,5.26639842987,2.45778131485,0.915871560574,1.36316633224,7.33137226105,4.51536464691,5.55474805832,6.0142326355,3.69157218933,1.89087367058,6.07377433777,4.13900661469,3.21402263641,0.884685277939,1.08645033836,0.798952639103,2.2003223896,1.01065862179,2.69976401329,2.94924044609,0.236750096083,0.396909743547,10.0003385544,5.31468582153,3.80707263947,1.25656497478,0.795004308224,4.99099254608,4.59875106812,3.65493202209,3.3358566761,0.930459439754,1.66843807697,0.958957076073,2.87324786186,0.660842299461,3.58563303947,0.72942751646,3.05432367325,1.82791411877,0.57011783123,2.3291490078,1.44220256805,3.63832497597,1.79446518421,1.1885137558,1.40595209599,1.69943499565,2.19860863686,2.11817550659,1.45045006275,0.32834944129,1.30617618561,2.6754963398,1.58135616779,0.54172617197,2.14656567574,2.24315237999,0.607814908028,0.220948204398,2.49803733826,6.16149425507,5.16881370544,5.69891405106,5.51484394073,2.72318744659,3.58347296715,1.33450293541
AIRE,0.035779800266,0.0,0.0391194336116,0.0203774869442,0.0421570651233,0.0363520048559,0.0,0.0,0.0181277617812,0.029298638925,0.00739247119054,0.00569797679782,0.0155398063362,0.0879628881812,0.161292210221,0.0285798031837,0.0107388710603,0.00821874290705,0.139182120562,0.0396521575749,0.0223520006984,0.0069252862595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210121273994,0.0966267585754,0.299825072289,0.0,0.0,0.0,0.0443423427641,0.0,0.0937719121575,0.0123661058024,0.0,0.0,0.0691165402532,0.0980303511024,0.0,0.00708882510662,0.18707382679,0.0,0.179987564683,0.0115974070504,0.0,0.0573973096907,0.012464100495,0.0223488155752,0.0,0.386142373085,0.0545854456723,0.0,0.0,0.024998344481,0.0,0.0170751642436,0.0692360177636,0.0980255529284,0.0,0.033106289804,0.0,0.0227187611163,0.0481005050242,0.016282511875,0.0133432364091,0.0,0.0589365288615,0.0,0.0,0.0,0.0298468004912,0.0,0.0419058352709,0.0458621382713,0.0781422555447,0.0,0.0,0.0,0.0613080821931,0.0,0.158846199512,0.0541845299304,0.0244644135237,0.0,0.0,0.0465376675129,0.133913785219,0.0134151624516,0.0,0.0327338911593,1.09074926376,0.0,0.0,0.0257994029671,0.00702573219314,0.0641591921449,0.0483254529536,0.0,0.0779620856047,0.193477913737,0.176224529743,0.037757050246,0.219767808914,0.0424194298685,0.0713292881846,0.0857106894255,0.0214120261371,0.0,0.109647423029,0.0,0.0360326208174,0.115554869175,0.0695534199476,0.0257418714464,0.0257157478482,0.0392844416201,0.0533306226134,0.134504362941,0.109504848719,0.0,0.320163816214,0.0927151590586,0.132877588272,0.0,0.257081151009,0.117192000151,0.0,0.0284380279481,0.0,0.0501711182296,0.0359554439783,0.0,0.0506834276021,0.0937914177775,0.0,0.0,0.0115292835981,0.0,0.0115518560633,0.0883319079876,0.0555539876223,0.00743040908128,0.0,0.0,0.0476563759148,0.0213494002819,0.0,0.113488055766,0.0208841506392,0.0726236999035,0.0841924697161,0.0231067463756,0.0,0.0249417759478,0.037585504353,0.018682224676,0.0449929982424,0.0166846644133,0.0205625724047,0.171286374331,0.162743628025,0.0369138382375,0.138060927391,0.00998304691166,0.0254291985184,0.0086975870654,0.0457026995718,0.0322817601264,0.0386505052447,0.180648520589,0.309180170298,0.0899084582925,0.0525830648839,0.0284259915352,0.0,0.0619155019522,0.0377537608147,0.0,0.0625240281224,0.901883900166,0.0535234883428,0.0162561070174,0.100608699024,0.131529062986,0.0236154310405
ALX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0464188531041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566789209843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054402153939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333999693394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011602640152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107686839998,0.0,0.0,0.0,0.0,0.0268112905324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149080399424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0359209924936,0.0,0.0,0.0,0.0,0.0,0.0282935034484,0.0218884851784,0.0,0.0
ALX3,0.419516116381,0.390206605196,0.0264619104564,0.192977771163,0.0570333637297,0.086064696312,0.0119334775954,0.588754594326,0.576329231262,0.455831050873,0.650072216988,0.477937370539,0.325863659382,0.251228660345,1.28743124008,0.283543258905,0.319624423981,1.0896576643,0.576657772064,0.69737893343,0.166317403316,0.880692243576,0.0822885781527,0.0584826804698,0.078682102263,0.319806486368,0.216984257102,0.682671785355,0.175217524171,0.0207821186632,0.454829514027,0.522896885872,1.04304015636,0.473004996777,0.334384649992,0.346169859171,0.549906373024,0.135722383857,0.172993570566,0.292772084475,0.268239527941,1.04744052887,0.748049974442,0.45091855526,0.216491624713,0.498696386814,0.409761637449,0.609996676445,0.182625904679,0.235348135233,0.334421515465,0.457281410694,0.463716179132,0.493841916323,0.584867835045,0.457103103399,0.576010107994,0.162366107106,0.284559309483,1.08223068714,0.134683609009,0.103952750564,0.645267665386,0.107750996947,0.59542298317,0.537465274334,0.248453423381,0.430299967527,0.563975691795,0.462593317032,0.523501336575,0.483171135187,0.74418336153,0.292694211006,0.129046022892,0.395185619593,0.780662178993,0.599154174328,0.188978284597,0.132955446839,0.232577264309,0.430199503899,0.581786811352,0.353742092848,0.763069629669,0.544391155243,0.848287642002,1.41112232208,0.54610657692,0.350484073162,0.547501266003,0.424978554249,0.498214811087,0.1179690063,1.20340669155,0.564633250237,0.510495364666,0.295588761568,0.618860065937,0.331582695246,0.152079328895,0.108499445021,0.320354342461,0.263758033514,0.86812543869,0.779565691948,1.08278012276,0.53123909235,0.998142361641,0.272594451904,0.0964998230338,0.405846387148,0.622808992863,0.239107251167,0.720506548882,0.258057117462,0.526475608349,0.90191334486,0.635156750679,0.684903681278,0.56824105978,0.53147059679,0.523086249828,0.351804792881,0.279832661152,0.199244126678,0.368631958961,0.546526372433,0.584243237972,0.211736902595,0.542567074299,0.588886857033,0.103777773678,0.679692924023,1.1021232605,0.610878646374,0.462111651897,0.226769134402,0.574261128902,0.473716467619,0.180206879973,0.486236572266,0.397741675377,0.0720255896449,0.851739704609,0.937633395195,1.20252430439,0.79414254427,0.330019533634,0.145150929689,0.539963543415,0.21662349999,0.494620144367,0.575758159161,0.386134028435,0.204059779644,0.873249709606,0.656472742558,0.0703327730298,1.20631861687,0.233903571963,0.644506633282,0.53565633297,0.699741780758,0.57028234005,1.01961004734,0.278112322092,0.137334778905,0.174327611923,0.0270116887987,0.837130010128,0.164734825492,0.340065956116,0.480406135321,0.0915064811707,0.708746671677,0.859175920486,0.456131905317,0.203252777457,0.346112042665,0.427331000566,0.223370999098,0.0893834009767,0.908704638481,0.549817979336,1.82378649712,0.217232257128,0.824719905853,0.263715624809,0.234135210514,0.372735977173
ALX4,0.0104331830516,0.0,0.0,0.008912935853,0.0,0.0,0.00771629018709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00416685268283,0.0,0.0,0.00760963140056,0.0115623399615,0.0,0.0,0.0,0.00630256859586,0.0,0.0,0.00779466191307,0.0,0.0,0.0,0.0,0.0,0.0374688245356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078753978014,0.0,0.0,0.0,0.0,0.0,0.0394429154694,0.0393624976277,0.0,0.0,0.011157816276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106946025044,0.0144804045558,0.0,0.0,0.0,0.00712182978168,0.0,0.0164432991296,0.0,0.0,0.0,0.0,0.00870315451175,0.0,0.0122194997966,0.0,0.0136714978144,0.0,0.0,0.0508294962347,0.0,0.00704016117379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00564221758395,0.0,0.0070156683214,0.0,0.0,0.0,0.0,0.00642325729132,0.0033029213082,0.00686603784561,0.0,0.0,0.0,0.00936543475837,0.0,0.00685126148164,0.0,0.00630414253101,0.00777579983696,0.0076055158861,0.0,0.00749856373295,0.0,0.00291579402983,0.0,0.0,0.0,0.0119180316105,0.0115865161642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110842455178,0.0,0.0,0.0,0.0,0.0,0.0,0.0445795506239,0.00607470795512,0.0,0.0,0.0,0.0,0.0,0.00984079018235,0.0,0.0243587922305,0.00488691963255,0.0,0.020213380456,0.0,0.0,0.00328791490756,0.0,0.0,0.0,0.0,0.0149838346988,0.00749291060492,0.0,0.0,0.0,0.0074150073342,0.0114127472043,0.0,0.0,0.0,0.0,0.0,0.0065541965887,0.0,0.0,0.0,0.0315948538482,0.0123848747462,0.0,0.00911582261324,0.0,0.0,0.0,0.0,0.0,0.0
AR,0.00992075446993,0.0246975086629,0.0813505724072,0.0169503502548,0.00438337260857,0.306162089109,0.0,0.0103427404538,0.005654620938,0.00609277980402,0.0107610765845,0.0236983839422,0.00323157059029,0.0243896897882,0.00559023674577,0.0158487856388,0.0223319511861,0.0512737035751,0.0144717646763,0.0219889041036,0.00464819557965,0.0144014349207,0.0252975784242,0.0194773003459,0.0030236071907,0.0109240626916,0.00370591250248,0.0,0.0141753358766,0.00319447298534,0.0233043394983,0.140657693148,0.0712570622563,0.0114800250158,0.0685321763158,0.0744949281216,0.119875393808,0.0178819186985,0.0177275259048,0.00771475723013,0.0103079471737,0.00748859485611,0.0527013167739,0.0815433636308,0.00207984284498,0.0117932166904,0.037050306797,0.0750113278627,0.0,0.057881552726,0.00734354229644,0.0145884705707,0.0285116042942,0.00464753387496,0.00513723073527,0.00401499960572,0.0522159002721,0.0693269893527,0.0031243104022,0.00519851455465,0.0248430799693,0.010652564466,0.0,0.0152886314318,0.00508466688916,0.216864824295,0.0624934062362,0.00472446577623,0.0,0.0203161183745,0.0471713319421,0.0117267612368,0.0245122183114,0.0449907854199,0.0892619788647,0.0323973335326,0.00413784850389,0.0216700062156,0.098764359951,0.00544984638691,0.0650000944734,0.0881694331765,0.00558924674988,0.265831440687,0.0101994266734,0.0133887631819,0.0243399310857,0.0169018637389,0.0152624454349,0.0119719579816,0.0326582640409,0.0193554218858,0.00232066307217,0.00557948322967,0.0389428921044,0.0238250475377,0.0196173898876,0.0,0.092057980597,0.00536509836093,0.00292206322774,0.0166777297854,0.0251237228513,0.0575448013842,0.00498847849667,0.015743965283,0.0488622151315,0.22298951447,0.00979321543127,0.0132319582626,0.0177998840809,0.0124767385423,0.035621792078,0.0122512644157,0.00977214053273,0.0103478152305,0.0104903979227,0.0406663902104,0.00361598446034,0.00713751278818,0.00713026942685,0.0408468581736,0.0471339300275,0.0167824625969,0.00759067060426,0.00360309728421,0.0481638684869,0.0413154028356,0.0179611071944,0.024409968406,0.00427689170465,0.0324941165745,0.0,0.0,0.00328951864503,0.0347776785493,0.014954184182,0.00232381792739,0.0210796799511,0.00260057789274,0.0474858246744,0.0183573607355,0.0359634719789,0.0344438590109,0.0168158132583,0.0381510108709,0.00577634712681,0.00309037184343,0.00966250523925,0.0251004658639,0.0322086401284,0.0355176068842,0.104101717472,0.037760540843,0.04342950508,0.00697034550831,0.00583606399596,0.123332157731,0.00240245158784,0.0155602535233,0.00937928445637,0.0038850500714,0.0299407690763,0.00346964877099,0.0171043053269,0.0249338243157,0.0356244705617,0.01535278745,0.00382804963738,0.0290642548352,0.0141016347334,0.028939217329,0.00475203758106,0.0134262666106,0.0763566419482,0.0694983005524,0.0139017002657,0.0249291416258,0.0218697562814,0.0118226176128,0.0251563992351,0.0300430655479,0.0176648832858,0.0232798904181,0.205867290497,0.019742179662,0.0,0.16057510674,0.00392287829891,0.011516649276,0.01309581846
ARID3A,5.08910226822,7.3695063591,2.95989274979,4.34374856949,2.51634192467,7.79308652878,2.9333024025,10.8225278854,8.76808357239,15.0908126831,11.9849910736,15.5865325928,12.0191669464,3.03105282784,12.2621068954,5.6063079834,11.4437026978,7.99658918381,10.4789295197,13.4478130341,2.90639090538,14.4672384262,4.92604589462,5.15788125992,5.09587287903,10.5352926254,13.4804172516,12.5067243576,5.12450265884,3.75089764595,5.04299926758,10.5965366364,12.0830144882,8.6409368515,5.6642537117,4.95243501663,9.47980976105,3.58512091637,5.5868639946,8.02123260498,6.1890745163,13.4148511887,10.8766307831,5.81660366058,10.190747261,15.6644086838,11.6032466888,16.1396007538,8.7090473175,6.8336224556,11.4595041275,4.70862817764,7.39321088791,12.9711236954,10.8918457031,4.03262376785,14.9295387268,2.79521679878,4.34495735168,4.91309738159,1.45070528984,2.08946251869,7.25499916077,8.30052471161,10.2733564377,4.34804725647,8.62728691101,7.04140758514,9.39661312103,15.4165239334,9.54248523712,7.16386413574,16.1709747314,4.12272262573,6.13908481598,3.41985368729,11.9476041794,5.6456952095,6.49802017212,10.340429306,16.0760936737,11.3552780151,12.2519016266,6.83887434006,19.0589733124,6.3178153038,4.60758829117,14.4554605484,17.2444782257,17.4846553802,16.3601856232,3.75157690048,3.36076021194,3.81200575829,14.2449464798,14.796251297,6.14412641525,14.6195755005,8.12695884705,6.00559568405,15.8820075989,3.2273273468,13.6778230667,4.45770311356,12.4273462296,8.94219684601,10.5681715012,5.84059143066,11.9799919128,11.1027708054,2.38266944885,5.71331644058,7.59245824814,8.90042686462,12.5014410019,5.37944555283,6.43280601501,8.33969306946,14.2220659256,7.75876617432,5.51530456543,3.76990509033,13.6273622513,10.8856220245,14.5137681961,4.13358879089,8.52917861938,6.58949708939,18.1342830658,10.7527370453,5.02185583115,9.14337825775,5.80197620392,8.5253610611,9.11100387573,10.1416702271,10.3087768555,9.40287876129,9.71024227142,13.8730020523,6.69293403625,13.2429924011,7.31903982162,2.45781350136,9.03614425659,11.0184984207,12.8254995346,4.25056171417,5.59031152725,8.31836032867,14.5390357971,8.25029850006,4.02464008331,7.63063097,3.5374712944,11.0253362656,13.6947336197,14.0729398727,2.56192111969,17.2175064087,18.0628948212,7.81118774414,11.6603727341,8.6623249054,13.3416843414,5.68641662598,9.96935081482,4.70674085617,19.8123435974,4.49105119705,10.9362001419,7.38842964172,17.4735851288,12.1825170517,10.3004312515,5.46061229706,8.94838142395,2.35996365547,5.57704544067,9.95473003387,4.90922689438,11.4669399261,3.00468015671,14.1756458282,12.4206638336,6.33529567719,10.1473655701,4.35506010056,13.9066429138,6.7406373024,3.647159338
ARID5B,3.81004810333,6.7789440155,1.22921478748,1.74514079094,0.613630890846,1.74977982044,0.79889690876,3.16006922722,5.3163819313,0.532518267632,0.528338968754,2.26084899902,0.844938933849,2.34546780586,1.62644231319,4.66627311707,1.34975159168,2.61035203934,1.86244440079,0.895784020424,1.34960758686,0.763758003712,1.76134252548,1.68458998203,0.951812326908,3.21631288528,0.801521241665,1.48046827316,3.80083417892,0.317059665918,4.00462436676,7.09938669205,3.37788534164,0.90700262785,2.05582690239,4.40633487701,4.84477996826,3.09711623192,0.414927512407,0.556187033653,2.64680099487,3.86330008507,2.3492205143,2.51861429214,0.88425886631,1.62255001068,2.16798305511,2.2779686451,3.67335915565,3.53696775436,0.674472570419,4.24166822433,3.04679250717,3.12339138985,3.28760647774,1.66834306717,4.23248243332,1.15434491634,2.22158241272,9.60312843323,3.91328835487,0.93894058466,1.77740287781,1.70239722729,6.39871692657,3.7021343708,2.44813656807,0.759362995625,4.28976249695,2.0164270401,5.17513799667,2.94162654877,3.63119530678,4.63762664795,2.15977406502,2.05769205093,1.63663876057,3.57531046867,6.31274747849,0.655955851078,1.44434928894,2.8594827652,3.7673125267,8.44875431061,2.0964076519,3.68662047386,7.37102556229,1.92376172543,1.15685319901,1.6582262516,1.37881171703,10.1752481461,4.67882966995,2.72136473656,4.80744123459,1.75713646412,1.92891347408,1.52384483814,3.56842708588,1.1444773674,1.08217287064,1.75413203239,0.911092340946,3.83606171608,4.02192115784,1.78030872345,1.03825223446,6.56012630463,0.97683775425,1.63999891281,0.859171152115,1.00863349438,2.20642375946,3.43314790726,3.99786329269,2.11796569824,7.07304954529,2.42338943481,0.800819694996,1.16307199001,4.75583362579,4.81657934189,4.24484825134,2.31071352959,2.53192734718,2.50331687927,1.09751665592,10.8310480118,1.58824872971,1.3982052803,4.27660369873,1.56098783016,0.921606183052,3.76122355461,4.97292995453,1.4219250679,0.636894583702,0.316706448793,3.17540097237,1.54097950459,2.78838324547,2.14446163177,4.61366987228,1.17538583279,0.590737998486,4.90853786469,3.01419448853,8.60896778107,2.12739753723,3.48697376251,1.26440238953,1.20850396156,4.60217285156,2.45951414108,3.43766975403,1.07559812069,0.734862327576,6.92369413376,1.26342654228,1.9228105545,6.36590528488,3.71500873566,7.45142364502,0.318672209978,5.46034049988,1.40358746052,2.21912312508,2.74341535568,1.68139302731,1.56229066849,1.49101686478,1.55671799183,0.422374933958,3.22208690643,2.03306341171,2.83817791939,2.16234111786,3.61679029465,3.00602126122,2.66209936142,0.73911356926,3.60174608231,0.476847052574,3.46243476868,3.42848300934,3.02693033218,1.43779158592,7.5593547821,1.62134718895,2.40127301216,0.475297749043
ARNT,5.96819114685,11.687625885,3.42847156525,6.19176959991,2.38351559639,5.38413906097,3.29623770714,11.388885498,10.0731840134,6.87334775925,6.57457542419,7.97949361801,4.64636039734,5.1032834053,8.94647789001,6.55160570145,4.69838476181,10.9850502014,8.69797134399,6.15564870834,3.78352189064,5.85480833054,4.75407934189,9.84964561462,5.03996753693,12.451130867,5.99184179306,8.72743988037,10.2206172943,2.57180809975,6.43319654465,10.9263486862,6.59648990631,7.50834083557,5.9169344902,9.88134098053,12.5985774994,4.49389886856,2.41284990311,4.84126329422,7.04551267624,10.5964136124,12.5517654419,6.22033071518,8.55953788757,11.3402748108,6.7402472496,11.5108318329,6.6593413353,7.20873308182,6.50417375565,8.17010402679,9.91777801514,7.8071398735,7.79191493988,6.02279663086,10.7114610672,3.86687898636,8.23733043671,9.18552398682,3.70178318024,2.45202708244,7.5568857193,5.83127450943,8.06274318695,8.42881679535,8.11512374878,4.10302782059,10.2404928207,10.2941083908,10.7623329163,9.99301528931,13.05626297,6.14526367188,4.24605417252,6.99795341492,6.60738706589,8.27123451233,12.9851846695,3.97244334221,8.99156093597,6.49187994003,9.2357635498,9.87578773499,10.3209075928,6.6289563179,11.4681444168,11.4835605621,8.10680675507,10.2241487503,7.61231946945,6.67213869095,6.24493932724,9.52364253998,19.3641490936,12.0695476532,5.27906894684,7.15016222,9.73856258392,4.54604148865,7.79183149338,3.92051076889,6.55744743347,9.2464427948,12.8138866425,6.32396316528,8.5780248642,7.50696325302,6.14919424057,7.60703516006,2.00901865959,5.09770536423,6.51602077484,5.73540067673,12.3769655228,7.54070043564,12.7250814438,11.6628065109,7.96547698975,6.77012491226,10.4620332718,5.27492523193,8.89161682129,7.38804864883,5.88320064545,9.31536102295,4.68157482147,13.3692092896,8.7479839325,8.67691421509,8.19910144806,5.35028266907,4.18626308441,9.19338512421,12.5941867828,6.76767349243,4.00756454468,3.44972205162,5.96264791489,6.09016418457,9.15851593018,8.12445068359,10.0137481689,2.39108991623,6.184030056,12.6327857971,8.45619297028,9.03789424896,6.23724412918,9.3007183075,7.08599376678,5.36888027191,6.14958906174,7.46885204315,4.42687273026,5.91397619247,4.61738061905,12.3607788086,3.24854588509,9.28874206543,7.14084529877,9.60798168182,12.3853034973,3.69231033325,14.3219184875,6.36513280869,6.94830322266,6.8331246376,6.41918182373,3.83674478531,6.44875860214,5.77834129333,7.13369274139,10.4558849335,5.91226434708,7.89105653763,6.6858215332,4.95858430862,4.57543516159,6.57331418991,3.07088565826,7.90327835083,1.86828351021,7.7246799469,10.4581346512,9.20712947845,4.89631700516,9.63084697723,6.31646585464,5.84932088852,2.5702662468
ARNT2,0.0333004742861,0.112508259714,0.0136532578617,0.149352908134,0.110350772738,0.0126873850822,0.0123143680394,0.195282757282,0.196132525802,0.0255641434342,0.0258008148521,0.0357961989939,0.0705070793629,0.0477560907602,0.0431582406163,0.113047420979,0.0899525806308,0.103264644742,0.0333964191377,0.0276783742011,0.191128835082,0.0,0.122065387666,0.0377183258533,0.0355221405625,0.275011688471,0.0715267881751,0.0503186583519,0.0404443629086,0.0160840786994,0.0733354240656,0.13489665091,0.119592413306,0.0128447981551,0.147881776094,0.625133037567,0.0928567871451,0.00500194123015,0.0595050528646,0.0172638129443,0.11245046556,0.050273142755,0.144736140966,0.164227366447,0.0139625975862,0.00989641714841,0.254947841167,0.0,1.50763940811,0.0404766574502,0.00616242038086,0.0400650128722,0.0522018522024,0.0832007005811,0.0517316162586,0.0269538760185,0.0609636008739,0.0558494925499,0.0209744162858,0.0436239540577,0.0277964863926,0.0417163856328,0.273863077164,0.0213827267289,0.0341348685324,0.150209590793,0.233075931668,0.0713626369834,0.0503633543849,0.0568283684552,0.0558838285506,0.0459230318666,0.047996006906,0.0125848492607,0.13316488266,0.108746424317,0.0694464892149,0.0454616099596,0.0292515084147,0.0228665173054,0.0,0.0845581963658,0.0187611300498,0.223075598478,0.00855896994472,0.0224706791341,0.0233430173248,0.0,0.204922571778,0.0,0.0126487240195,0.495391100645,0.0155792953447,0.0842776075006,0.196076333523,0.0685476660728,0.0720219761133,0.00610046600923,0.417158305645,0.00900437124074,0.0490416809916,0.0335887521505,0.0303593296558,0.0921888574958,0.0293029863387,0.0440391153097,0.041003305465,0.247742012143,0.027393642813,0.014805004932,0.0199159774929,0.0957257375121,0.149462252855,0.00685386219993,0.0054669380188,0.00578899448738,0.186123564839,0.0558420270681,0.0606879256666,0.00598952826113,0.0418841503561,0.214803308249,0.018613172695,0.0250368025154,0.0297257378697,0.018141489476,0.0285298414528,0.0277362465858,0.0324633643031,0.163871303201,0.0215340256691,0.0272678211331,0.0305971838534,0.00661686062813,0.00552087696269,0.0,0.0209149681032,0.0312009491026,0.0265338923782,0.0567399486899,0.0132827628404,0.0286089070141,0.0241433363408,0.0289039704949,0.0322541445494,0.0592868030071,0.0436256080866,0.0311198662966,0.0162168126553,0.0163826067001,0.00415819417685,0.0409819036722,0.212015360594,0.0673353075981,0.0461628884077,0.019497493282,0.0244870111346,0.048387568444,0.0362888239324,0.0391727089882,0.0314829498529,0.0521629713476,0.0628128796816,0.0232927743345,0.0645897611976,0.0239125862718,0.017936816439,0.0450921542943,0.0321235321462,0.0487792231143,0.0236671064049,0.0227668955922,0.047852743417,0.0338004305959,0.0404687859118,0.0441342964768,0.0466631054878,0.0470690615475,0.0367045290768,0.243066698313,0.0281470511109,0.0144062824547,0.00988246314228,0.0156284756958,0.130930840969,0.0198802575469,0.0149443894625,2.21554899216,0.0438923984766,0.0,0.0109895113856
