Source	Target
ATF4	CDC5L
ATF4	CEBPB
ATF4	CTCF
ATF4	EGR4
ATF4	ERG
ATF4	FLI1
ATF4	FOXD3
ATF4	FOXJ3
ATF4	FOXP1
ATF4	GABPB1
ATF4	GATA2
ATF4	GZF1
ATF4	HLF
ATF4	HOXC10
ATF4	ING4
ATF4	IRX5
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	KLF12
ATF4	KLF15
ATF4	KLF4
ATF4	MAF
ATF4	MAFB
ATF4	MAFF
ATF4	MAFG
ATF4	MYC
ATF4	MZF1
ATF4	NF1
ATF4	NR1H2
ATF4	NR4A2
ATF4	NR6A1
ATF4	RB1
ATF4	RELB
ATF4	RFX1
ATF4	SMAD1
ATF4	SREBF1
ATF4	SREBF2
ATF4	STAT3
ATF4	TCF3
ATF4	TFCP2
ATF4	TGIF2
ATF4	TRIM28
ATF4	YY1
ATF5	ALX4
ATF5	BACH2
ATF5	CDC5L
ATF5	E2F7
ATF5	EGR4
ATF5	ETS2
ATF5	GATA2
ATF5	HLF
ATF5	HOXA3
ATF5	HOXC10
ATF5	HOXD9
ATF5	ING4
ATF5	IRX5
ATF5	ISL1
ATF5	KLF11
ATF5	MAF
ATF5	MAFF
ATF5	MYC
ATF5	NF1
ATF5	NFIB
ATF5	NR2C2
ATF5	NR2F2
ATF5	NR3C1
ATF5	NR4A2
ATF5	NR6A1
ATF5	NRF1
ATF5	OAZ1
ATF5	RELB
ATF5	RFX1
ATF5	RXRB
ATF5	SP1
ATF5	SREBF1
ATF5	STAT3
ATF5	TFCP2
ATF5	TRIM28
ATF5	XBP1
ATF5	YY1
ATF6	BACH2
ATF6	CDC5L
ATF6	EGR4
ATF6	GATA2
ATF6	HLF
ATF6	HOXC10
ATF6	ING4
ATF6	IRX5
ATF6	KLF11
ATF6	MAF
ATF6	MAFF
ATF6	MYC
ATF6	NF1
ATF6	NR4A2
ATF6	NR6A1
ATF6	RELB
ATF6	RFX1
ATF6	SREBF1
ATF6	STAT3
ATF6	TFCP2
ATF6	TRIM28
ATF6	YY1
ATF7	BACH2
ATF7	CDC5L
ATF7	EGR4
ATF7	GATA2
ATF7	HLF
ATF7	HOXC10
ATF7	ING4
ATF7	IRX5
ATF7	KLF11
ATF7	MAF
ATF7	MAFF
ATF7	MYC
ATF7	NF1
ATF7	NR4A2
ATF7	NR6A1
ATF7	RELB
ATF7	RFX1
ATF7	SREBF1
ATF7	STAT3
ATF7	TFCP2
ATF7	TRIM28
ATF7	YY1
ATOH1	ARNT
ATOH1	BACH1
ATOH1	BRCA1
ATOH1	CEBPD
ATOH1	CEBPE
ATOH1	DLX2
ATOH1	E2F1
ATOH1	FOXL1
ATOH1	GABPB1
ATOH1	GATA2
ATOH1	HOXA5
ATOH1	HOXA6
ATOH1	JUND
ATOH1	KLF4
ATOH1	LMX1B
ATOH1	MAFG
ATOH1	NFKB1
ATOH1	NR6A1
ATOH1	SMAD7
ATOH1	SOX4
ATOH1	SRF
ATOH1	TFAP4
ATOH1	TGIF1
ATOH1	USF2
BACH1	ATF5
BACH1	BACH1
BACH1	BHLHE40
BACH1	BHLHE41
BACH1	CEBPG
BACH1	DDIT3
BACH1	DLX1
BACH1	E2F4
BACH1	ELF4
BACH1	ERG
BACH1	FOXL1
BACH1	GLIS3
BACH1	GTF2A1
BACH1	GTF2IRD1
BACH1	HMGA1
BACH1	HOXA3
BACH1	IRF6
BACH1	KLF4
BACH1	LHX6
BACH1	LMO2
BACH1	MAFG
BACH1	NFKB2
BACH1	PRDM1
BACH1	SIX4
BACH1	ZNF217
BACH2	ATF3
BACH2	BACH1
BACH2	BHLHE40
BACH2	DDIT3
BACH2	DLX1
BACH2	E2F4
BACH2	E2F6
BACH2	ELF4
BACH2	ERG
BACH2	FOXL1
BACH2	GABPB1
BACH2	GLIS3
BACH2	GTF2A1
BACH2	GTF2IRD1
BACH2	HMGA1
BACH2	HOXA3
BACH2	IRF6
BACH2	KLF4
BACH2	LHX6
BACH2	LMO2
BACH2	MAFG
BACH2	NFKB2
BACH2	NR4A1
BACH2	PRDM1
BACH2	SIX4
BACH2	TGIF1
BACH2	ZNF217
BARHL1	CNOT3
BARHL1	NFE2L1
BARHL1	NRF1
BARHL1	SHOX2
BARHL1	SP1
BARHL2	CNOT3
BARHL2	NRF1
BARHL2	SHOX2
BARX1	MAF
BCL6	AHR
BCL6	ATF6
BCL6	BCL6
BCL6	BHLHE40
BCL6	CEBPG
BCL6	EGR1
BCL6	ELK1
BCL6	GTF2A1
BCL6	LEF1
BCL6	PARP1
BCL6	PATZ1
BCL6	SMAD1
BCL6	SMAD7
BCL6	ZNF217
BCL6	ZNF354C
BDP1	ESR2
BDP1	FOXL1
BDP1	KLF4
BDP1	RFX1
BDP1	ZBTB16
BDP1	ZEB1
BHLHE40	ARID3A
BHLHE40	ATF1
BHLHE40	ATF4
BHLHE40	BARHL1
BHLHE40	BCL6
BHLHE40	BHLHE40
BHLHE40	BPTF
BHLHE40	ELK1
BHLHE40	EN2
BHLHE40	EPAS1
BHLHE40	FOXL1
BHLHE40	FOXO3
BHLHE40	GABPB1
BHLHE40	GBX2
BHLHE40	HES1
BHLHE40	HINFP
BHLHE40	HOXA4
BHLHE40	HOXA6
BHLHE40	HOXA7
BHLHE40	HOXB3
BHLHE40	HOXB4
BHLHE40	HOXB6
BHLHE40	HOXB7
BHLHE40	HOXB8
BHLHE40	HOXD1
BHLHE40	HOXD9
BHLHE40	IRF2
BHLHE40	KLF11
BHLHE40	KLF15
BHLHE40	MAFG
BHLHE40	MAX
BHLHE40	NR6A1
BHLHE40	OAZ1
BHLHE40	POU3F2
BHLHE40	SIX4
BHLHE40	SMAD7
BHLHE40	TEF
BHLHE41	AHR
BHLHE41	ARID3A
BHLHE41	ATF1
BHLHE41	ATF4
BHLHE41	BARHL1
BHLHE41	BCL6
BHLHE41	BHLHE40
BHLHE41	BPTF
BHLHE41	E2F6
BHLHE41	ELK1
BHLHE41	EN2
BHLHE41	EPAS1
BHLHE41	FOXL1
BHLHE41	FOXO3
BHLHE41	GABPB1
BHLHE41	GBX2
BHLHE41	GTF2A1
BHLHE41	HES1
BHLHE41	HIF1A
BHLHE41	HINFP
BHLHE41	HMGA2
BHLHE41	HOXA1
BHLHE41	HOXA4
BHLHE41	HOXA6
BHLHE41	HOXA7
BHLHE41	HOXA9
BHLHE41	HOXB3
BHLHE41	HOXB4
BHLHE41	HOXB6
BHLHE41	HOXB7
BHLHE41	HOXB8
BHLHE41	HOXD1
BHLHE41	HOXD9
BHLHE41	HSF1
BHLHE41	HSF2
BHLHE41	IRF2
BHLHE41	KLF11
BHLHE41	KLF15
BHLHE41	MAFG
BHLHE41	MAX
BHLHE41	NR2F2
BHLHE41	NR6A1
BHLHE41	OAZ1
BHLHE41	PKNOX1
BHLHE41	POU3F2
BHLHE41	SIX4
BHLHE41	SMAD7
BHLHE41	TEF
BPTF	BHLHE40
BPTF	E2F1
BPTF	GABPA
BPTF	HBP1
BPTF	HINFP
BPTF	JUN
BPTF	MAFF
BPTF	MAX
BPTF	MYCN
BPTF	RBPJ
BPTF	TGIF1
BRF1	CREB1
BRF1	FOXL1
BRF1	KLF4
BRF1	MAFB
BRF1	RFX1
CBFB	PBX1
CBFB	SIRT6
CBFB	SPI1
CBFB	STAT6
CBFB	ZBTB16
CDX1	DLX1
CDX1	HAND2
CDX1	HES1
CDX1	HOXA7
CDX1	TEF
CDX1	ZBTB16
CDX2	BCL6
CDX2	CUX1
CDX2	DLX1
CDX2	EGR2
CDX2	HAND2
CDX2	HES1
CDX2	HOXA7
