Source	Target
AHR	ATF2
AHR	BHLHE40
AHR	BHLHE41
AHR	CTCF
AHR	DBP
AHR	E2F5
AHR	EGR1
AHR	EGR4
AHR	ELF4
AHR	ELK4
AHR	FOXH1
AHR	FOXJ3
AHR	FOXP1
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	HOXA6
AHR	IKZF2
AHR	IRF1
AHR	IRF2
AHR	JUN
AHR	JUND
AHR	KLF11
AHR	MAFB
AHR	MAFF
AHR	MAFG
AHR	MEF2C
AHR	MEIS2
AHR	MYC
AHR	NEUROD1
AHR	NFKB1
AHR	NFKB2
AHR	NR2F1
AHR	NR2F2
AHR	NR3C1
AHR	NRF1
AHR	PARP1
AHR	RELA
AHR	RFX1
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	TBX18
AHR	TFDP1
AHR	TOPORS
AHR	UBP1
AHR	USF2
AHR	YY1
AHR	ZBTB16
AHR	ZEB1
AHR	ZFP161
AHR	ZFX
AHR	ZNF219
AHR	ZNF263
AHR	ZNF589
AIRE	ARID5B
AIRE	NFIB
AIRE	TCF3
ALX1	ERG
ALX1	SP3
ALX3	HMGA2
ALX3	NR2F2
ALX4	HMBOX1
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	BHLHE40
AR	CEBPD
AR	ELF5
AR	ERG
AR	GABPB1
AR	HMBOX1
AR	HOXB3
AR	HOXB4
AR	KLF15
AR	NFIB
AR	NR6A1
AR	PURA
AR	RXRB
AR	SMAD2
AR	TEF
AR	ZNF628
ARID5B	ATF1
ARID5B	ATF4
ARID5B	BARHL1
ARID5B	EN2
ARID5B	FOSL1
ARID5B	FOXD3
ARID5B	FOXO3
ARID5B	GTF2A1
ARID5B	HES1
ARID5B	HINFP
ARID5B	HOXA6
ARID5B	HOXA7
ARID5B	HOXB7
ARID5B	HOXB8
ARID5B	HOXD1
ARID5B	MAX
ARID5B	NR2F2
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	RFX1
ARID5B	SIX4
ARID5B	SMAD7
ARID5B	TEF
ARID5B	TFAP4
ARID5B	TP53
ARID5B	ZBTB7B
ARNT	BHLHE40
ARNT	BHLHE41
ARNT	BPTF
ARNT	CTCF
ARNT	CUX1
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	EGR4
ARNT	ELF4
ARNT	ELK4
ARNT	ESRRA
ARNT	FLI1
ARNT	FOXD3
ARNT	FOXP1
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HOXA1
ARNT	HOXA6
ARNT	HOXA7
ARNT	HOXA9
ARNT	HOXB3
ARNT	HOXB4
ARNT	HOXB7
ARNT	HOXB8
ARNT	IKZF2
ARNT	IRF1
ARNT	IRF9
ARNT	JUN
ARNT	KLF11
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEF2C
ARNT	MEIS2
ARNT	MYC
ARNT	NEUROD1
ARNT	NFATC1
ARNT	NFATC3
ARNT	NFIB
ARNT	NFKB1
ARNT	NFKB2
ARNT	NR2F1
ARNT	NR2F2
ARNT	NR3C1
ARNT	NRF1
ARNT	PKNOX1
ARNT	RELB
ARNT	RFX5
ARNT	SMAD2
ARNT	SP4
ARNT	SREBF1
ARNT	TBX18
ARNT	TFAP4
ARNT	TFDP1
ARNT	TGIF1
ARNT	TOPORS
ARNT	UBP1
ARNT	USF2
ARNT	ZBTB16
ARNT	ZEB1
ARNT	ZFP161
ARNT	ZNF589
ARNT2	CTCF
ARNT2	EGR4
ARNT2	ELF4
ARNT2	ELK4
ARNT2	HLF
